filename	tile_size	pattern_width	rotations	output_size	ground	attempt_limit	output_periodic	input_periodic	location heuristic	choice heuristic	global constraint	backtracking	attempts	time_start	time_adjacency	adjacency_duration	time solve start	time solve end	solve duration	pattern count	choices	wave	backtracks	propagations	outcome	
Trick Knot	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090147.3639565	1090149.134019	0.0013005000073462725	1090149.1353195	1090152.6159465	3.480627000099048	93	121	121	0	242	success	
Village	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090152.635871	1090153.2033332	0.0021701999939978123	1090153.2055034	1090154.4920722	1.2865687999874353	54	80	80	0	160	success	
Water	1	3	0	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090154.5118371	1090154.5478794	0.0010015000589191914	1090154.5488809	1090155.406142	0.8572611000854522	12	226	226	0	452	success	
Skyline	1	3	1	(48, 48)	-1	10	True	True	entropy	weighted	False	False	1	1090155.4233345	1090160.940603	0.0022068999242037535	1090160.9428099	1090170.5434837	9.600673799868673	170	145	145	0	290	success	
Cat	1	3	1	(80, 80)	0	10	True	True	entropy	weighted	False	False	1	1090170.5610906	1090177.3281899	0.0017767001409083605	1090177.3299666	None	88.49200319987722	190	457	457	0	914	contradiction	
Cat	1	3	1	(80, 80)	0	10	True	True	entropy	weighted	False	False	2	1090170.5610906	1090177.3281899	88.49479770008475	1090265.8229876	None	39.700590499909595	190	627	627	0	1254	contradiction	
Cat	1	3	1	(80, 80)	0	10	True	True	entropy	weighted	False	False	3	1090170.5610906	1090177.3281899	128.1966155001428	1090305.5248054	None	86.63719290005974	190	1038	1038	0	2076	contradiction	
Cat	1	3	1	(80, 80)	0	10	True	True	entropy	weighted	False	False	4	1090170.5610906	1090177.3281899	214.83549980004318	1090392.1636897	1090488.7494061	96.58571640006267	190	1531	1531	0	3062	success	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090488.7926021	1090489.7445451	0.0012972999829798937	1090489.7458424	None	1.3315184998791665	70	52	52	0	104	contradiction	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	2	1090488.7926021	1090489.7445451	1.3337014000862837	1090491.0782465	None	0.8942910998594016	70	83	83	0	166	contradiction	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	3	1090488.7926021	1090489.7445451	2.2288128999061882	1090491.973358	None	0.5343916001729667	70	102	102	0	204	contradiction	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	4	1090488.7926021	1090489.7445451	2.763946499908343	1090492.5084916	None	0.4405026000458747	70	117	117	0	234	contradiction	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	5	1090488.7926021	1090489.7445451	3.2052352000027895	1090492.9497803	None	0.6457271999679506	70	143	143	0	286	contradiction	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	6	1090488.7926021	1090489.7445451	3.851801099954173	1090493.5963462	None	0.6719800001010299	70	169	169	0	338	contradiction	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	7	1090488.7926021	1090489.7445451	4.524704699870199	1090494.2692498	None	0.29373850021511316	70	178	178	0	356	contradiction	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	8	1090488.7926021	1090489.7445451	4.819345300085843	1090494.5638904	None	0.47996749985031784	70	196	196	0	392	contradiction	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	9	1090488.7926021	1090489.7445451	5.300219299970195	1090495.0447644	None	0.8946557999588549	70	225	225	0	450	contradiction	
Cats	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	10	1090488.7926021	1090489.7445451	6.195825800066814	1090495.9403709	None	1.1054461000021547	70	267	267	0	534	contradiction	
Skyline 2	1	3	1	(48, 48)	-1	10	True	True	entropy	weighted	False	False	1	1090497.0468045	1090505.9470752	0.002659499878063798	1090505.9497347	None	8.765466100070626	221	64	64	0	128	contradiction	
